pos,code,book,chapter,verse,word_index
Adjective,A-NSN-N,1CO,7,19,8
Adjective,A-NSN-N,1CO,7,19,23
Adjective,A-ASN-N,1CO,8,2,23
Adjective,A-NSN-N,1CO,8,4,26
Adjective,A-NSM-N,1CO,8,4,44
Adjective,A-DSN-N,1CO,9,15,8
Adjective,A-NSM-N,1CO,10,24,2
Adjective,A-ASN-N,1CO,10,25,20
Adjective,A-ASN-N,1CO,10,27,47
Adjective,A-NSM-N,1CO,12,3,14
Adjective,A-NSM-N,1CO,12,3,41
Adjective,A-NSN-N,1CO,13,2,80
Adjective,A-ASN-N,1CO,13,3,59
Adjective,A-NSM-N,1CO,14,2,32
Adjective,A-NSN-N,1CO,14,10,29
Adjective,A-ASM-N,2CO,5,16,17
Adjective,A-ASF-N,2CO,6,3,2
Adjective,A-DSN-N,2CO,6,3,8
Adjective,A-ASN-N,2CO,6,10,35
Adjective,A-ASM-N,2CO,7,2,8
Adjective,A-ASM-N,2CO,7,2,14
Adjective,A-ASM-N,2CO,7,2,20
Adjective,A-ASF-N,2CO,7,5,20
Adjective,A-DSN-N,2CO,7,9,50
Adjective,A-ASN-N,2CO,11,5,8
Adjective,A-GSM-N,2CO,11,9,26
Adjective,A-ASN-N,2CO,12,11,38
Adjective,A-NSN-N,2CO,12,11,65
Adjective,A-ASN-N,2CO,13,7,29
Adjective,A-ASN-N,GAL,2,6,29
Adjective,A-ASN-N,GAL,2,6,65
Adjective,A-NSM-N,GAL,3,11,14
Adjective,A-NSM-N,GAL,3,15,26
Adjective,A-ASN-N,GAL,4,1,29
Adjective,A-ASN-N,GAL,4,12,32
Adjective,A-ASN-N,GAL,5,2,32
Adjective,A-ASN-N,GAL,5,10,23
Adjective,A-NSN-N,GAL,6,3,20
Adjective,A-NSM-N,GAL,6,17,14
Adjective,A-NSM-N,EPH,5,6,2
Adjective,A-NSM-N,EPH,5,29,2
Adjective,A-DSN-N,PHP,1,20,26
Adjective,A-DSN-N,PHP,1,28,14
Adjective,A-ASN-N,PHP,2,3,2
Adjective,A-ASM-N,PHP,2,20,2
Adjective,A-ASN-N,PHP,4,6,2
Adjective,A-NSF-N,PHP,4,15,44
Adjective,A-NSM-N,COL,2,18,2
Adjective,A-ASM-N,1TH,3,3,5
Adjective,A-GSN-N,1TH,4,12,23
Adjective,A-ASM-N,2TH,2,3,17
Adjective,A-ASN-N,2TH,3,11,23
