pos,code,info_length
Possessive Pronoun,S-1SNSM,5
Possessive Pronoun,S-2PNSM,5
Possessive Pronoun,S-2PDSM,5
Possessive Pronoun,S-1SDSM,5
Possessive Pronoun,S-1SASM,5
Possessive Pronoun,S-1SAPN,5
Possessive Pronoun,S-1SGPN,5
Possessive Pronoun,S-1SNPM,5
Possessive Pronoun,S-1SAPF,5
Possessive Pronoun,S-1SDSF,5
Possessive Pronoun,S-2PASM,5
Possessive Pronoun,S-1SGSN,5
Possessive Pronoun,S-2SNSM,5
Possessive Pronoun,S-1PDPF,5
Possessive Pronoun,S-2SDSF,5
Possessive Pronoun,S-1PGSF,5
Possessive Pronoun,S-2PGSF,5
Possessive Pronoun,S-1SDSN,5
Possessive Pronoun,S-1SGSF,5
Possessive Pronoun,S-2PDSN,5
Possessive Pronoun,S-1PASF,5
Possessive Pronoun,S-2PASF,5
Possessive Pronoun,S-2PDSF,5
Possessive Pronoun,S-1PDPM,5
Possessive Pronoun,S-1PNPM,5
Possessive Pronoun,S-1PNSF,5
Possessive Pronoun,S-1PGPF,5
Preposition,PREP,0
Reciprocal Pronoun,C-APM,3
Reciprocal Pronoun,C-GPM,3
Reciprocal Pronoun,C-DPM,3
Reciprocal Pronoun,C-DPN,3
Reciprocal Pronoun,C-GPN,3
Reflexive Pronoun,F-2DPM,4
Reflexive Pronoun,F-2ASM,4
Reflexive Pronoun,F-3GSF,4
Reflexive Pronoun,F-1ASM,4
Reflexive Pronoun,F-3GPM,4
Reflexive Pronoun,F-3DPM,4
Reflexive Pronoun,F-3DSF,4
Reflexive Pronoun,F-3ASM,4
Reflexive Pronoun,F-3GSN,4
Reflexive Pronoun,F-3DSM,4
Reflexive Pronoun,F-3APM,4
Reflexive Pronoun,F-3GPF,4
Reflexive Pronoun,F-2DPF,4
Reflexive Pronoun,F-2GPM,4
Reflexive Pronoun,F-3ASF,4
Reflexive Pronoun,F-3GSM,4
Reflexive Pronoun,F-2APM,4
Reflexive Pronoun,F-3APF,4
Reflexive Pronoun,F-2APF,4
Reflexive Pronoun,F-2GSM,4
Reflexive Pronoun,F-1GSM,4
Reflexive Pronoun,F-2DSM,4
Reflexive Pronoun,F-1DSM,4
Reflexive Pronoun,F-1APM,4
Reflexive Pronoun,F-1DPM,4
Reflexive Pronoun,F-1GPM,4
