id,std_poly_form,std_poly_LC,str_num_1,str_num_2,str_num_3
205,προσκυνῆσαι,προσκυνῆσαι,4352,,
206,ἀκούσας,ἀκούσας,191,,
207,ἡρῴδης,ἡρῴδης,2264,,
208,ἐταράχθη,ἐταράχθη,5015,,
209,πᾶσα,πᾶσα,3956,,
210,μετ,μετ,3326,,
211,συναγαγών,συναγαγών,4863,,
212,πάντας,πάντας,3956,,
213,ἀρχιερεῖς,ἀρχιερεῖς,749,,
214,γραμματεῖς,γραμματεῖς,1122,,
215,λαοῦ,λαοῦ,2992,,
216,ἐπυνθάνετο,ἐπυνθάνετο,4441,,
217,παρ,παρ,3844,,
218,γεννᾶται,γεννᾶται,1080,,
219,οἱ,οἱ,3588,,
220,εἶπον,εἶπον,3004,,
221,γέγραπται,γέγραπται,1125,,
222,σύ,σύ,4771,,
223,γῆ,γῆ,1093,,
224,ἰούδα,ἰούδα,2448,2455.0,
225,οὐδαμῶς,οὐδαμῶς,3760,,
226,ἐλαχίστη,ἐλαχίστη,1646,,
227,εἶ,εἶ,1510,,
228,τοῖς,τοῖς,3588,,
229,ἡγεμόσιν,ἡγεμόσιν,2232,,
230,σοῦ,σοῦ,4771,,
231,ἐξελεύσεται,ἐξελεύσεται,1831,,
232,ἡγούμενος,ἡγούμενος,2233,,
233,ὅστις,ὅστις,3748,,
234,ποιμανεῖ,ποιμανεῖ,4165,,
235,μου,μου,1473,,
236,Ἰσραήλ,ἰσραήλ,2474,,
237,τότε,τότε,5119,,
238,καλέσας,καλέσας,2564,,
239,μάγους,μάγους,3097,,
240,ἠκρίβωσεν,ἠκρίβωσεν,198,,
241,χρόνον,χρόνον,5550,,
242,φαινομένου,φαινομένου,5316,,
243,ἀστέρος,ἀστέρος,792,,
244,πέμψας,πέμψας,3992,,
245,εἶπεν,εἶπεν,3004,,
246,πορευθέντες,πορευθέντες,4198,,
247,ἀκριβῶς,ἀκριβῶς,199,,
248,ἐξετάσατε,ἐξετάσατε,1833,,
249,περί,περί,4012,,
250,παιδίου,παιδίου,3813,,
251,ἐπάν,ἐπάν,1875,,
252,εὕρητε,εὕρητε,2147,,
253,ἀπαγγείλατέ,ἀπαγγείλατέ,518,,
254,μοι,μοι,1473,,
255,ὅπως,ὅπως,3704,,
256,κἀγώ,κἀγώ,2504,,
257,ἐλθών,ἐλθών,2064,,
258,προσκυνήσω,προσκυνήσω,4352,,
259,ἀκούσαντες,ἀκούσαντες,191,,
260,ἐπορεύθησαν,ἐπορεύθησαν,4198,,
261,ἀστήρ,ἀστήρ,792,,
262,ὅν,ὅν,3739,,
263,εἶδον,εἶδον,3708,,
264,προῆγεν,προῆγεν,4254,,
265,ἔστη,ἔστη,2476,,
266,ἐπάνω,ἐπάνω,1883,,
267,παιδίον,παιδίον,3813,,
268,ἰδόντες,ἰδόντες,3708,,
269,ἐχάρησαν,ἐχάρησαν,5463,,
270,χαράν,χαράν,5479,,
271,μεγάλην,μεγάλην,3173,,
272,σφόδρα,σφόδρα,4970,,
273,ἐλθόντες,ἐλθόντες,2064,,
274,οἰκίαν,οἰκίαν,3614,,
275,πεσόντες,πεσόντες,4098,,
276,προσεκύνησαν,προσεκύνησαν,4352,,
277,ἀνοίξαντες,ἀνοίξαντες,455,,
278,θησαυρούς,θησαυρούς,2344,,
279,προσήνεγκαν,προσήνεγκαν,4374,,
280,δῶρα,δῶρα,1435,,
281,χρυσόν,χρυσόν,5557,,
282,λίβανον,λίβανον,3030,,
283,σμύρναν,σμύρναν,4666,4667.0,
284,χρηματισθέντες,χρηματισθέντες,5537,,
285,ἀνακάμψαι,ἀνακάμψαι,344,,
286,πρός,πρός,4314,,
287,ἡρῴδην,ἡρῴδην,2264,,
288,δι,δι,1223,,
289,ἄλλης,ἄλλης,243,,
290,ὁδοῦ,ὁδοῦ,3598,,
291,ἀνεχώρησαν,ἀνεχώρησαν,402,,
292,χώραν,χώραν,5561,,
293,ἀναχωρησάντων,ἀναχωρησάντων,402,,
294,φαίνεται,φαίνεται,5316,,
295,ἐγερθείς,ἐγερθείς,1453,,
296,παράλαβε,παράλαβε,3880,,
297,μητέρα,μητέρα,3384,,
298,φεῦγε,φεῦγε,5343,,
299,αἴγυπτον,αἴγυπτον,125,,
300,ἴσθι,ἴσθι,1510,,
301,ἐκεῖ,ἐκεῖ,1563,,
302,ἄν,ἄν,302,,
303,εἴπω,εἴπω,3004,,
304,σοί,σοί,4771,4674.0,
305,μέλλει,μέλλει,3195,,
306,ζητεῖν,ζητεῖν,2212,,
307,ἀπολέσαι,ἀπολέσαι,622,,
308,αὐτό,αὐτό,846,,
309,νυκτός,νυκτός,3571,,
310,ἀνεχώρησεν,ἀνεχώρησεν,402,,
311,τελευτῆς,τελευτῆς,5054,,
312,αἰγύπτου,αἰγύπτου,125,,
313,ἐκάλεσα,ἐκάλεσα,2564,,
314,ἰδών,ἰδών,3708,,
315,ὅτι,ὅτι,3754,,
316,ἐνεπαίχθη,ἐνεπαίχθη,1702,,
317,μάγων,μάγων,3097,,
318,ἐθυμώθη,ἐθυμώθη,2373,,
319,λίαν,λίαν,3029,,
320,ἀποστείλας,ἀποστείλας,649,,
321,ἀνεῖλεν,ἀνεῖλεν,337,,
322,παῖδας,παῖδας,3816,,
323,πᾶσιν,πᾶσιν,3956,,
324,ὁρίοις,ὁρίοις,3725,,
325,διετοῦς,διετοῦς,1332,,
326,κατωτέρω,κατωτέρω,2736,,
327,κατά,κατά,2596,,
328,παρά,παρά,3844,,
329,ἐπληρώθη,ἐπληρώθη,4137,,
330,ἰερεμίου,ἰερεμίου,2408,,
331,φωνή,φωνή,5456,,
332,Ῥαμᾶ,ῥαμᾶ,4471,,
333,ἠκούσθη,ἠκούσθη,191,,
334,θρῆνος,θρῆνος,2355,,
335,κλαυθμός,κλαυθμός,2805,,
336,ὀδυρμός,ὀδυρμός,3602,,
337,πολύς,πολύς,4183,,
338,Ῥαχήλ,ῥαχήλ,4478,,
339,κλαίουσα,κλαίουσα,2799,,
340,τά,τά,3588,,
341,τέκνα,τέκνα,5043,,
342,ἤθελεν,ἤθελεν,2309,,
343,παρακληθῆναι,παρακληθῆναι,3870,,
344,εἰσίν,εἰσίν,1510,,
345,τελευτήσαντος,τελευτήσαντος,5053,,
346,αἰγύπτῳ,αἰγύπτῳ,125,,
347,πορεύου,πορεύου,4198,,
348,γῆν,γῆν,1093,,
349,τεθνήκασιν,τεθνήκασιν,2348,,
350,ζητοῦντες,ζητοῦντες,2212,,
351,ψυχήν,ψυχήν,5590,,
352,ἦλθεν,ἦλθεν,2064,,
353,ἀρχέλαος,ἀρχέλαος,745,,
354,βασιλεύει,βασιλεύει,936,,
355,ἀντί,ἀντί,473,,
356,πατρός,πατρός,3962,,
357,ἐφοβήθη,ἐφοβήθη,5399,,
358,ἀπελθεῖν,ἀπελθεῖν,565,,
359,χρηματισθείς,χρηματισθείς,5537,,
360,μέρη,μέρη,3313,,
361,γαλιλαίας,γαλιλαίας,1056,,
362,κατῴκησεν,κατῴκησεν,2730,,
363,πόλιν,πόλιν,4172,,
364,λεγομένην,λεγομένην,3004,,
365,Ναζαρέτ,ναζαρέτ,3478,,
366,προφητῶν,προφητῶν,4396,,
367,ναζωραῖος,ναζωραῖος,3480,,
368,κληθήσεται,κληθήσεται,2564,,
369,ταῖς,ταῖς,3588,,
370,ἐκείναις,ἐκείναις,1565,,
371,παραγίνεται,παραγίνεται,3854,,
372,ἰωάννης,ἰωάννης,2491,,
373,βαπτιστής,βαπτιστής,910,,
374,κηρύσσων,κηρύσσων,2784,,
375,ἐρήμῳ,ἐρήμῳ,2048,,
376,μετανοεῖτε,μετανοεῖτε,3340,,
377,ἤγγικεν,ἤγγικεν,1448,,
378,βασιλεία,βασιλεία,932,,
379,οὐρανῶν,οὐρανῶν,3772,,
380,οὗτος,οὗτος,3778,,
381,ῥηθείς,ῥηθείς,2046,,
382,ἠσαΐου,ἠσαΐου,2268,,
383,βοῶντος,βοῶντος,994,,
384,ἑτοιμάσατε,ἑτοιμάσατε,2090,,
385,ὁδόν,ὁδόν,3598,,
386,εὐθείας,εὐθείας,2117,,
387,ποιεῖτε,ποιεῖτε,4160,,
388,τάς,τάς,3588,,
389,τρίβους,τρίβους,5147,,
390,εἶχεν,εἶχεν,2192,,
391,ἔνδυμα,ἔνδυμα,1742,,
392,τριχῶν,τριχῶν,2359,,
393,καμήλου,καμήλου,2574,,
394,ζώνην,ζώνην,2223,,
395,δερματίνην,δερματίνην,1193,,
396,ὀσφύν,ὀσφύν,3751,,
397,τροφή,τροφή,5160,,
398,ἀκρίδες,ἀκρίδες,200,,
399,μέλι,μέλι,3192,,
400,ἄγριον,ἄγριον,66,,
401,ἐξεπορεύετο,ἐξεπορεύετο,1607,,
402,αὐτόν,αὐτόν,846,,
403,ἰουδαία,ἰουδαία,2449,,
404,περίχωρος,περίχωρος,4066,,
405,ἰορδάνου,ἰορδάνου,2446,,
406,ἐβαπτίζοντο,ἐβαπτίζοντο,907,,
407,ἰορδάνῃ,ἰορδάνῃ,2446,,
408,ὑπ,ὑπ,5259,,
409,ἐξομολογούμενοι,ἐξομολογούμενοι,1843,,
410,ἁμαρτίας,ἁμαρτίας,266,,
411,πολλούς,πολλούς,4183,,
412,φαρισαίων,φαρισαίων,5330,,
413,σαδδουκαίων,σαδδουκαίων,4523,,
414,ἐρχομένους,ἐρχομένους,2064,,
415,βάπτισμα,βάπτισμα,908,,
416,αὐτοῖς,αὐτοῖς,846,,
417,γεννήματα,γεννήματα,1081,,
418,ἐχιδνῶν,ἐχιδνῶν,2191,,
419,τίς,τίς,5101,5100.0,
420,ὑπέδειξεν,ὑπέδειξεν,5263,,
421,ὑμῖν,ὑμῖν,4771,,
422,φυγεῖν,φυγεῖν,5343,,
423,μελλούσης,μελλούσης,3195,,
424,ὀργῆς,ὀργῆς,3709,,
425,ποιήσατε,ποιήσατε,4160,,
426,καρπόν,καρπόν,2590,,
427,ἄξιον,ἄξιον,514,,
428,μετανοίας,μετανοίας,3341,,
429,δόξητε,δόξητε,1380,,
430,λέγειν,λέγειν,3004,,
431,ἑαυτοῖς,ἑαυτοῖς,1438,,
432,πατέρα,πατέρα,3962,,
433,ἔχομεν,ἔχομεν,2192,,
434,λέγω,λέγω,3004,,
435,δύναται,δύναται,1410,,
436,λίθων,λίθων,3037,,
437,τούτων,τούτων,3778,,
438,ἐγεῖραι,ἐγεῖραι,1453,,
439,ἤδη,ἤδη,2235,,
440,ἀξίνη,ἀξίνη,513,,
441,ῥίζαν,ῥίζαν,4491,,
442,δένδρων,δένδρων,1186,,
443,κεῖται,κεῖται,2749,,
444,πᾶν,πᾶν,3956,,
445,δένδρον,δένδρον,1186,,
446,ποιοῦν,ποιοῦν,4160,,
447,καλόν,καλόν,2570,,
448,ἐκκόπτεται,ἐκκόπτεται,1581,,
449,πῦρ,πῦρ,4442,,
450,βάλλεται,βάλλεται,906,,
451,ἐγώ,ἐγώ,1473,,
452,μέν,μέν,3303,,
453,βαπτίζω,βαπτίζω,907,,
454,ὑμᾶς,ὑμᾶς,4771,,
455,ὕδατι,ὕδατι,5204,,
456,μετάνοιαν,μετάνοιαν,3341,,
457,ὀπίσω,ὀπίσω,3694,,
458,ἐρχόμενος,ἐρχόμενος,2064,,
459,ἰσχυρότερός,ἰσχυρότερός,2478,,
460,εἰμί,εἰμί,1510,,
461,ἱκανός,ἱκανός,2425,,
462,ὑποδήματα,ὑποδήματα,5266,,
463,βαστάσαι,βαστάσαι,941,,
464,βαπτίσει,βαπτίσει,907,,
465,πνεύματι,πνεύματι,4151,,
466,ἁγίῳ,ἁγίῳ,40,,
467,πτύον,πτύον,4425,,
468,χειρί,χειρί,5495,,
469,διακαθαριεῖ,διακαθαριεῖ,1245,,
470,ἅλωνα,ἅλωνα,257,,
471,συνάξει,συνάξει,4863,,
472,σῖτον,σῖτον,4621,,
473,ἀποθήκην,ἀποθήκην,596,,
474,ἄχυρον,ἄχυρον,892,,
475,κατακαύσει,κατακαύσει,2618,,
476,πυρί,πυρί,4442,,
477,ἀσβέστῳ,ἀσβέστῳ,762,,
478,ἰορδάνην,ἰορδάνην,2446,,
479,ἰωάννην,ἰωάννην,2491,,
480,βαπτισθῆναι,βαπτισθῆναι,907,,
481,διεκώλυεν,διεκώλυεν,1254,,
482,χρείαν,χρείαν,5532,,
483,ἔχω,ἔχω,2192,,
484,ἔρχῃ,ἔρχῃ,2064,,
485,με,με,1473,,
486,ἀποκριθείς,ἀποκριθείς,611,,
487,ἄφες,ἄφες,863,,
488,ἄρτι,ἄρτι,737,,
489,πρέπον,πρέπον,4241,,
490,ἡμῖν,ἡμῖν,1473,,
491,πληρῶσαι,πληρῶσαι,4137,,
492,πᾶσαν,πᾶσαν,3956,,
493,δικαιοσύνην,δικαιοσύνην,1343,,
494,ἀφίησιν,ἀφίησιν,863,,
495,βαπτισθείς,βαπτισθείς,907,,
496,ἀνέβη,ἀνέβη,305,,
497,εὐθύς,εὐθύς,2112,,
498,ὕδατος,ὕδατος,5204,,
499,ἀνεῴχθησαν,ἀνεῴχθησαν,455,,
500,οὐρανοί,οὐρανοί,3772,,
501,εἶδεν,εἶδεν,3708,,
502,πνεῦμα,πνεῦμα,4151,,
503,θεοῦ,θεοῦ,2316,,
504,καταβαῖνον,καταβαῖνον,2597,,
505,ὡσεί,ὡσεί,5616,,
506,περιστεράν,περιστεράν,4058,,
507,ἐρχόμενον,ἐρχόμενον,2064,,
508,ἐπ,ἐπ,1909,,
509,λέγουσα,λέγουσα,3004,,
510,οὗτός,οὗτός,3778,,
511,ἀγαπητός,ἀγαπητός,27,,
512,ᾧ,ᾧ,3739,,
513,εὐδόκησα,εὐδόκησα,2106,,
514,ἀνήχθη,ἀνήχθη,321,,
515,ἔρημον,ἔρημον,2048,,
516,πειρασθῆναι,πειρασθῆναι,3985,,
517,διαβόλου,διαβόλου,1228,,
518,νηστεύσας,νηστεύσας,3522,,
519,ἡμέρας,ἡμέρας,2250,,
520,τεσσαράκοντα,τεσσαράκοντα,5062,,
521,νύκτας,νύκτας,3571,,
522,ὕστερον,ὕστερον,5305,,
523,ἐπείνασεν,ἐπείνασεν,3983,,
524,προσελθών,προσελθών,4334,,
525,πειράζων,πειράζων,3985,,
526,εἰ,εἰ,1487,,
527,εἰπέ,εἰπέ,3004,,
528,λίθοι,λίθοι,3037,,
529,οὗτοι,οὗτοι,3778,,
530,ἄρτοι,ἄρτοι,740,,
531,γένωνται,γένωνται,1096,,
532,ἄρτῳ,ἄρτῳ,740,,
533,μόνῳ,μόνῳ,3441,,
534,ζήσεται,ζήσεται,2198,,
535,ἄνθρωπος,ἄνθρωπος,444,,
536,ἀλλ,ἀλλ,235,,
537,παντί,παντί,3956,,
538,ῥήματι,ῥήματι,4487,,
539,ἐκπορευομένῳ,ἐκπορευομένῳ,1607,,
540,στόματος,στόματος,4750,,
541,παραλαμβάνει,παραλαμβάνει,3880,,
542,διάβολος,διάβολος,1228,,
543,ἁγίαν,ἁγίαν,40,,
544,ἵστησιν,ἵστησιν,2476,,
545,πτερύγιον,πτερύγιον,4419,,
546,ἱεροῦ,ἱεροῦ,2411,,
547,λέγει,λέγει,3004,,
548,βάλε,βάλε,906,,
549,σεαυτόν,σεαυτόν,4572,,
550,κάτω,κάτω,2736,,
551,ἀγγέλοις,ἀγγέλοις,32,,
552,ἐντελεῖται,ἐντελεῖται,1781,,
553,χειρῶν,χειρῶν,5495,,
554,ἀροῦσίν,ἀροῦσίν,142,,
555,σε,σε,4771,,
556,μήποτε,μήποτε,3379,,
557,προσκόψῃς,προσκόψῃς,4350,,
558,λίθον,λίθον,3037,,
559,πόδα,πόδα,4228,,
560,ἔφη,ἔφη,5346,,
561,πάλιν,πάλιν,3825,,
562,ἐκπειράσεις,ἐκπειράσεις,1598,,
563,κύριον,κύριον,2962,,
564,θεόν,θεόν,2316,,
565,ὄρος,ὄρος,3735,,
566,ὑψηλόν,ὑψηλόν,5308,,
567,δείκνυσιν,δείκνυσιν,1166,,
568,πάσας,πάσας,3956,,
569,βασιλείας,βασιλείας,932,,
570,κόσμου,κόσμου,2889,,
571,δόξαν,δόξαν,1391,,
572,πάντα,πάντα,3956,,
573,σοι,σοι,4771,,
574,δώσω,δώσω,1325,,
575,ἐάν,ἐάν,1437,,
576,πεσών,πεσών,4098,,
577,προσκυνήσῃς,προσκυνήσῃς,4352,,
578,ὕπαγε,ὕπαγε,5217,,
579,σατανᾶ,σατανᾶ,4567,,
580,προσκυνήσεις,προσκυνήσεις,4352,,
581,λατρεύσεις,λατρεύσεις,3000,,
582,ἄγγελοι,ἄγγελοι,32,,
583,προσῆλθον,προσῆλθον,4334,,
584,διηκόνουν,διηκόνουν,1247,,
585,παρεδόθη,παρεδόθη,3860,,
586,γαλιλαίαν,γαλιλαίαν,1056,,
587,καταλιπών,καταλιπών,2641,,
588,Καπερναούμ,καπερναούμ,2584,,
589,παραθαλασσίαν,παραθαλασσίαν,3864,,
590,Ζαβουλών,ζαβουλών,2194,,
591,Νεφθαλείμ,νεφθαλείμ,3508,,
592,θαλάσσης,θαλάσσης,2281,,
593,πέραν,πέραν,4008,,
594,γαλιλαία,γαλιλαία,1056,,
595,ἐθνῶν,ἐθνῶν,1484,,
596,λαός,λαός,2992,,
597,καθήμενος,καθήμενος,2521,,
598,σκότει,σκότει,4655,,
599,φῶς,φῶς,5457,,
600,μέγα,μέγα,3173,,
601,καθημένοις,καθημένοις,2521,,
602,χώρᾳ,χώρᾳ,5561,,
603,σκιᾷ,σκιᾷ,4639,,
604,θανάτου,θανάτου,2288,,
605,ἀνέτειλεν,ἀνέτειλεν,393,,
606,ἤρξατο,ἤρξατο,756,,
607,κηρύσσειν,κηρύσσειν,2784,,
608,περιπατῶν,περιπατῶν,4043,,
609,θάλασσαν,θάλασσαν,2281,,
610,δύο,δύο,1417,,
611,σίμωνα,σίμωνα,4613,,
612,λεγόμενον,λεγόμενον,3004,,
613,πέτρον,πέτρον,4074,,
