id,sbl_id,word_order
150,90303,11
151,90304,12
152,90305,13
153,90306,14
154,90307,15
155,90308,16
156,90309,17
157,90310,18
158,90311,19
159,90312,20
160,90313,21
161,90314,22
162,90315,23
163,90316,24
164,90317,25
165,90318,26
166,90319,27
167,90320,28
168,90321,29
169,90322,30
170,90323,31
171,90324,32
172,90325,33
173,90326,34
174,90327,35
175,90328,1
176,90329,2
177,90330,3
178,90331,4
179,90332,5
180,90333,6
181,90334,7
182,90335,8
183,90336,9
184,90337,10
185,90338,11
186,90339,12
187,90340,13
188,90341,14
189,90342,15
190,90343,1
191,90344,2
192,90345,3
193,90346,4
194,90347,5
195,90348,6
196,90349,7
197,90350,8
198,90351,9
199,90352,10
200,90353,11
201,90354,12
202,90355,13
203,90356,15
204,90357,16
205,90358,17
206,90359,18
207,90360,19
208,90361,20
209,90362,21
210,90363,1
211,90364,2
212,90365,3
213,90366,4
214,90367,5
215,90368,6
216,90369,7
217,90370,8
218,90371,9
219,90372,10
220,90373,11
221,90374,12
222,90375,13
223,90376,14
224,90377,1
225,90378,4
226,90379,5
227,90380,6
228,90381,7
229,90382,8
230,90383,9
231,90384,10
232,90385,11
233,90386,12
234,90387,1
235,90388,2
236,90389,3
237,90390,4
238,90391,5
239,90392,6
240,90393,7
241,90394,8
242,90395,9
243,90396,10
244,90397,1
245,90398,2
246,90399,3
247,90400,4
248,90401,5
249,90402,6
250,90403,7
251,90404,8
252,90405,9
253,90406,10
254,90407,11
255,90408,12
256,90409,13
257,90410,1
258,90411,2
259,90412,3
260,90413,4
261,90414,5
262,90415,6
263,90416,7
264,90417,8
265,90418,9
266,90419,10
267,90420,11
268,90421,12
269,90422,13
270,90423,14
271,90424,15
272,90425,16
273,90426,17
274,90427,18
275,90428,19
276,90429,1
277,90430,2
278,90431,3
279,90432,4
280,90433,5
281,90434,6
282,90435,7
283,90436,8
284,90437,9
285,90438,10
286,90439,11
287,90440,12
288,90441,13
289,90442,14
290,90443,15
291,90444,16
292,90445,17
293,90446,18
294,90447,1
295,90448,2
296,90449,3
297,90450,4
298,90451,5
299,90452,6
300,90453,7
301,90454,8
302,90455,9
303,90456,10
304,90457,11
305,90458,12
306,90459,13
307,90460,1
308,90461,2
309,90462,3
310,90463,4
311,90464,5
312,90465,6
313,90466,7
314,90467,8
315,90468,9
316,90469,10
317,90470,11
318,90471,12
319,90472,13
320,90473,14
321,90474,15
322,90475,16
323,90476,17
324,90477,1
325,90478,2
326,90479,3
327,90480,4
328,90481,5
329,90482,6
330,90483,7
331,90484,8
332,90485,9
333,90486,10
334,90487,11
335,90488,12
336,90489,13
337,90490,14
338,90491,15
339,90492,16
340,90493,17
341,90494,18
342,90495,19
343,90496,20
344,90497,21
345,90498,22
346,90499,23
347,90500,24
348,90501,25
349,90502,26
350,90503,27
351,90504,1
352,90505,2
353,90506,3
354,90507,4
355,90508,5
356,90509,6
357,90510,7
358,90511,8
359,90512,9
360,90513,1
361,90514,2
362,90515,3
363,90516,4
364,90517,5
365,90518,6
366,90519,7
367,90520,8
368,90521,10
369,90522,11
370,90523,12
371,90524,1
372,90525,2
373,90526,3
374,90527,4
375,90528,5
376,90529,6
377,90530,7
378,90531,8
379,90532,9
380,90533,10
381,90534,11
382,90535,12
383,90536,13
384,90537,14
385,90538,1
386,90539,2
387,90540,3
388,90541,4
389,90542,5
390,90543,6
391,90544,7
392,90545,8
393,90546,9
394,90547,10
395,90548,11
396,90549,12
397,90550,13
398,90551,14
