id,word,unicode,std_poly_LC,book,chapter,verse,word_index
129,E(/WS,ἕως,ἕως,JOH,8,9,11
130,TW=N,τῶν,τῶν,JOH,8,9,12
131,E)SXA/TWN,ἐσχάτων,ἐσχάτων,JOH,8,9,13
132,KAI\,καὶ,καί,JOH,8,9,14
133,KATELEI/FQH,κατελείφθη,κατελείφθη,JOH,8,9,15
134,KAI\,καὶ,καί,JOH,8,9,16
135,H(,ἡ,ἡ,JOH,8,9,17
136,GUNH\,γυνὴ,γυνή,JOH,8,9,18
137,E)N,ἐν,ἐν,JOH,8,9,19
138,ME/SW|,μέσῳ,μέσῳ,JOH,8,9,20
139,OU)=SA,οὖσα,οὖσα,JOH,8,9,21
140,*)ANAKU/YAS,Ἀνακύψας,ἀνακύψας,JOH,8,10,1
141,DE\,δὲ,δέ,JOH,8,10,2
142,O(,ὁ,ὁ,JOH,8,10,3
143,*)IHSOU=S,Ἰησοῦς,ἰησοῦς,JOH,8,10,4
144,EI)=DEN,εἶδεν,εἶδεν,JOH,8,10,5
145,AU)TH\N,αὐτὴν,αὐτήν,JOH,8,10,6
146,KAI\,καὶ,καί,JOH,8,10,7
147,EI)=PEN,εἶπεν,εἶπεν,JOH,8,10,8
148,*GU/NAI,Γύναι,γύναι,JOH,8,10,9
149,POU=,ποῦ,ποῦ,JOH,8,10,10
150,*OU)DEI/S,Οὐδείς,οὐδείς,JOH,8,10,11
151,SE,σε,σε,JOH,8,10,12
152,KATE/KRINEN,κατέκρινεν,κατέκρινεν,JOH,8,10,13
153,*(H,Ἡ,ἡ,JOH,8,11,1
154,DE\,δὲ,δέ,JOH,8,11,2
155,EI)=PEN,εἶπεν,εἶπεν,JOH,8,11,3
156,*OU)DEI/S,Οὐδείς,οὐδείς,JOH,8,11,4
157,KU/RIE,κύριε,κύριε,JOH,8,11,5
158,*EI)=PEN,Εἶπεν,εἶπεν,JOH,8,11,6
159,DE\,δὲ,δέ,JOH,8,11,7
160,AU)TH=|,αὐτῇ,αὐτῇ,JOH,8,11,8
161,O(,ὁ,ὁ,JOH,8,11,9
162,*)IHSOU=S,Ἰησοῦς,ἰησοῦς,JOH,8,11,10
163,*OU)DE\,Οὐδὲ,οὐδέ,JOH,8,11,11
164,E)GW/,ἐγώ,ἐγώ,JOH,8,11,12
165,SE,σε,σε,JOH,8,11,13
166,KATAKRI/NW,κατακρίνω,κατακρίνω,JOH,8,11,14
167,POREU/OU,πορεύου,πορεύου,JOH,8,11,15
168,MHKE/TI,μηκέτι,μηκέτι,JOH,8,11,16
169,A(MA/RTANE,ἁμάρτανε,ἁμάρτανε,JOH,8,11,17
170,O(\S,ὃς,ὅς,ACT,24,6,1
171,KAI\,καὶ,καί,ACT,24,6,2
172,TO\,τὸ,τό,ACT,24,6,3
173,I(ERO\N,ἱερὸν,ἱερόν,ACT,24,6,4
174,E)PEI/RASEN,ἐπείρασεν,ἐπείρασεν,ACT,24,6,5
175,BEBHLW=SAI,βεβηλῶσαι,βεβηλῶσαι,ACT,24,6,6
176,O(\N,ὃν,ὅν,ACT,24,6,7
177,KAI\,καὶ,καί,ACT,24,6,8
178,E)KRATH/SAMEN,ἐκρατήσαμεν,ἐκρατήσαμεν,ACT,24,6,9
179,KAI\,καὶ,καί,ACT,24,6,10
180,KATA\,κατὰ,κατά,ACT,24,6,11
181,TO\N,τὸν,τόν,ACT,24,6,12
182,H(ME/TERON,ἡμέτερον,ἡμέτερον,ACT,24,6,13
183,NO/MON,νόμον,νόμον,ACT,24,6,14
184,H)QELH/SAMEN,ἠθελήσαμεν,ἠθελήσαμεν,ACT,24,6,15
185,KRI=NAI,κρῖναι,κρῖναι,ACT,24,6,16
186,*PARELQW\N,Παρελθὼν,παρελθών,ACT,24,7,1
187,DE\,δὲ,δέ,ACT,24,7,2
188,*LUSI/AS,Λυσίας,λυσίας,ACT,24,7,3
189,O(,ὁ,ὁ,ACT,24,7,4
190,XILI/ARXOS,χιλίαρχος,χιλίαρχος,ACT,24,7,5
191,META\,μετὰ,μετά,ACT,24,7,6
192,POLLH=S,πολλῆς,πολλῆς,ACT,24,7,7
