id,word,count,str_num,rp_code,rp_pos,rp_gender,rp_number,rp_word_case,rp_tense,rp_type,rp_voice,rp_mood,rp_person,rp_indeclinable,rp_description,rp_kai_incrasis,rp_extra
346,αυτη,202,846,P-DSF,Personal Pronoun,Feminine,Singular,Dative,,,,,,,,,
347,γεννηθεν,1,1080,V-APP-NSN,Verb,Neuter,Singular,Nominative,Aorist,,Passive,Participle,,,,,
350,εστιν,918,1510,V-PAI-3S,Verb,,Singular,,Present,,Active,Indicative,Third person,,,,
352,τεξεται,2,5088,V-FDI-3S,Verb,,Singular,,Future,,middle Deponent,Indicative,Third person,,,,
354,υιον,82,5207,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
356,καλεσεις,3,2564,V-FAI-2S,Verb,,Singular,,Future,,Active,Indicative,Second person,,,,
358,ονομα,106,3686,N-ASN,Noun,Neuter,Singular,Accusative,,,,,,,,,
360,ιησουν,131,2424,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
361,αυτος,177,846,P-NSM,Personal Pronoun,Masculine,Singular,Nominative,,,,,,,,,
363,σωσει,6,4982,V-FAI-3S,Verb,,Singular,,Future,,Active,Indicative,Third person,,,,
365,λαον,44,2992,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
368,των,1243,3588,T-GPF,Article,Feminine,Plural,Genitive,,,,,,,,,
369,αμαρτιων,33,266,N-GPF,Noun,Feminine,Plural,Genitive,,,,,,,,,
370,αυτων,592,846,P-GPM,Personal Pronoun,Masculine,Plural,Genitive,,,,,,,,,
371,τουτο,319,3778,D-NSN,Demonstrative Pronoun,Neuter,Singular,Nominative,,,,,,,,,
373,ολον,37,3650,A-NSN,Adjective,Neuter,Singular,Nominative,,,,,,,,,
374,γεγονεν,34,1096,V-2RAI-3S,Verb,,Singular,,Second Perfect,,Active,Indicative,Third person,,,,
375,ινα,670,2443,CONJ,Conjunction,,,,,,,,,,,,
376,πληρωθη,20,4137,V-APS-3S,Verb,,Singular,,Aorist,,Passive,Subjunctive,Third person,,,,
378,ρηθεν,13,2046,V-APP-NSN,Verb,Neuter,Singular,Nominative,Aorist,,Passive,Participle,,,,,
379,υπο,190,5259,PREP,Preposition,,,,,,,,,,,,
382,δια,529,1223,PREP,Preposition,,,,,,,,,,,,
384,προφητου,29,4396,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
385,λεγοντος,25,3004,V-PAP-GSM,Verb,Masculine,Singular,Genitive,Present,,Active,Participle,,,,,
388,παρθενος,3,3933,N-NSF,Noun,Feminine,Singular,Nominative,,,,,,,,,
391,εξει,6,2192,V-FAI-3S,Verb,,Singular,,Future,,Active,Indicative,Third person,,,,
396,καλεσουσιν,1,2564,V-FAI-3P,Verb,,Plural,,Future,,Active,Indicative,Third person,,,,
400,εμμανουηλ,1,1694,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
403,μεθερμηνευομενον,6,3177,V-PPP-NSN,Verb,Neuter,Singular,Nominative,Present,,Passive,Participle,,,,,
404,μεθ,48,3326,PREP,Preposition,,,,,,,,,,,,
405,ημων,410,1473,P-1GP,Personal Pronoun,,Plural,Genitive,,,,,First person,,,,
407,θεος,315,2316,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
408,διεγερθεις,2,1326,V-APP-NSM,Verb,Masculine,Singular,Nominative,Aorist,,Passive,Participle,,,,,
414,υπνου,4,5258,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
415,εποιησεν,77,4160,V-AAI-3S,Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
416,ως,499,5613,ADV,Adverb,,,,,,,,,,,,
417,προσεταξεν,6,4367,V-AAI-3S,Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
423,παρελαβεν,4,3880,V-2AAI-3S,Verb,,Singular,,Second Aorist,,Active,Indicative,Third person,,,,
428,ουκ,833,3756,PRT-N,Particle,,,,,negative,,,,,,,
429,εγινωσκεν,4,1097,V-IAI-3S,Verb,,Singular,,Imperfect,,Active,Indicative,Third person,,,,
432,ου,844,3739,R-GSM,Relative Pronoun,Masculine,Singular,Genitive,,,,,,,,,
433,ετεκεν,5,5088,V-2AAI-3S,Verb,,Singular,,Second Aorist,,Active,Indicative,Third person,,,,
438,πρωτοτοκον,4,4416,A-ASM-S,Adjective,Masculine,Singular,Accusative,,superlative,,,,,,,
440,εκαλεσεν,10,2564,V-AAI-3S,Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
448,γεννηθεντος,1,1080,V-APP-GSM,Verb,Masculine,Singular,Genitive,Aorist,,Passive,Participle,,,,,
450,βηθλεεμ,8,965,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
452,ιουδαιας,26,2449,N-GSF,Noun,Feminine,Singular,Genitive,,,,,,,,,
454,ημεραις,49,2250,N-DPF,Noun,Feminine,Plural,Dative,,,,,,,,,
455,ηρωδου,13,2264,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
457,βασιλεως,9,935,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
459,μαγοι,1,3097,N-NPM,Noun,Masculine,Plural,Nominative,,,,,,,,,
461,ανατολων,5,395,N-GPF,Noun,Feminine,Plural,Genitive,,,,,,,,,
462,παρεγενοντο,5,3854,V-2ADI-3P,Verb,,Plural,,Second Aorist,,middle Deponent,Indicative,Third person,,,,
463,εις,1875,1519,PREP,Preposition,,,,,,,,,,,,
464,ιεροσολυμα,34,2414,N-APN,Noun,Neuter,Plural,Accusative,,,,,,,,,
465,λεγοντες,156,3004,V-PAP-NPM,Verb,Masculine,Plural,Nominative,Present,,Active,Participle,,,,,
466,που,50,4226,ADV-I,Adverb,,,,,interrogative,,,,,,,
469,τεχθεις,1,5088,V-APP-NSM,Verb,Masculine,Singular,Nominative,Aorist,,Passive,Participle,,,,,
472,ιουδαιων,72,2453,A-GPM,Adjective,Masculine,Plural,Genitive,,,,,,,,,
473,ειδομεν,10,3708,V-2AAI-1P,Verb,,Plural,,Second Aorist,,Active,Indicative,First person,,,,
477,αστερα,4,792,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
479,τη,882,3588,T-DSF,Article,Feminine,Singular,Dative,,,,,,,,,
480,ανατολη,3,395,N-DSF,Noun,Feminine,Singular,Dative,,,,,,,,,
482,ηλθομεν,10,2064,V-2AAI-1P,Verb,,Plural,,Second Aorist,,Active,Indicative,First person,,,,
483,προσκυνησαι,3,4352,V-AAN,Verb,,,,Aorist,,Active,Infinitive,,,,,
485,ακουσας,35,191,V-AAP-NSM,Verb,Masculine,Singular,Nominative,Aorist,,Active,Participle,,,,,
487,ηρωδης,26,2264,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
490,εταραχθη,3,5015,V-API-3S,Verb,,Singular,,Aorist,,Passive,Indicative,Third person,,,,
492,πασα,47,3956,A-NSF,Adjective,Feminine,Singular,Nominative,,,,,,,,,
494,μετ,130,3326,PREP,Preposition,,,,,,,,,,,,
497,συναγαγων,2,4863,V-2AAP-NSM,Verb,Masculine,Singular,Nominative,Second Aorist,,Active,Participle,,,,,
498,παντας,91,3956,A-APM,Adjective,Masculine,Plural,Accusative,,,,,,,,,
500,αρχιερεις,48,749,N-APM,Noun,Masculine,Plural,Accusative,,,,,,,,,
502,γραμματεις,44,1122,N-APM,Noun,Masculine,Plural,Accusative,,,,,,,,,
504,λαου,38,2992,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
505,επυνθανετο,5,4441,V-INI-3S,Verb,,Singular,,Imperfect,,middle or passive Deponent,Indicative,Third person,,,,
506,παρ,61,3844,PREP,Preposition,,,,,,,,,,,,
511,γενναται,1,1080,V-PPI-3S,Verb,,Singular,,Present,,Passive,Indicative,Third person,,,,
512,οι,1178,3588,T-NPM,Article,Masculine,Plural,Nominative,,,,,,,,,
