id,parsed_id,word,simplified_word,unicode,count
21332,21332,DAMA/SAI,damasai,δαμάσαι,2
21335,7404,PANTO/S,pantos,παντός,4
21341,21341,O)/RESIN,oresin,ὄρεσιν,4
21347,21347,KRA/ZWN,krazwn,κράζων,2
21349,21349,KATAKO/PTWN,katakoptwn,κατακόπτων,1
21351,21351,LI/QOIS,liqois,λίθοις,3
21358,21358,E)/DRAMEN,edramen,ἔδραμεν,2
21376,21376,U(YI/STOU,uyistou,ὑψίστου,8
21377,21377,*(ORKI/ZW,orkizw,Ὁρκίζω,2
21383,21383,BASANI/SH|S,basanishs,βασανίσῃς,2
21387,19154,*)/ECELQE,ecelqe,Ἔξελθε,7
21396,21396,E)PHRW/TA,ephrwta,ἐπηρώτα,7
21404,21404,*LEGEW\N,legewn,Λεγεὼν,1
21409,21409,E)SMEN,esmen,ἐσμεν,27
21417,21417,A)POSTEI/LH|,aposteilh,ἀποστείλῃ,2
21420,21420,XW/RAS,xwras,χώρας,8
21438,21438,*PE/MYON,pemyon,Πέμψον,4
21442,21442,XOI/ROUS,xoirous,χοίρους,5
21446,21446,EI)SE/LQWMEN,eiselqwmen,εἰσέλθωμεν,1
21454,17293,E)CELQO/NTA,ecelqonta,ἐξελθόντα,1
21476,21476,DISXI/LIOI,disxilioi,δισχίλιοι,1
21478,21478,E)PNI/GONTO,epnigonto,ἐπνίγοντο,1
21489,21489,A)NH/GGEILAN,anhggeilan,ἀνήγγειλαν,2
21503,21503,GEGONO/S,gegonos,γεγονός,5
21510,21510,QEWROU=SIN,qewrousin,θεωροῦσιν,3
21515,21515,I(MATISME/NON,imatismenon,ἱματισμένον,2
21517,21517,SWFRONOU=NTA,swfronounta,σωφρονοῦντα,2
21519,21519,E)SXHKO/TA,esxhkota,ἐσχηκότα,1
21521,21521,*LEGEW=NA,legewna,Λεγεῶνα,1
21524,21524,*DIHGH/SANTO,dihghsanto,Διηγήσαντο,1
21532,21532,DAIMONIZOME/NW|,daimonizomenw,δαιμονιζομένῳ,1
21539,21539,PARAKALEI=N,parakalein,παρακαλεῖν,3
21547,21547,E)MBA/NTOS,embantos,ἐμβάντος,1
21555,21555,DAIMONISQEI/S,daimonisqeis,δαιμονισθείς,2
21576,21576,SOU/S,sous,σούς,1
21578,21578,A)NA/GGEILON,anaggeilon,ἀνάγγειλον,1
21584,21584,PEPOI/HKEN,pepoihken,πεποίηκεν,6
21586,21586,H)LE/HSE/N,hlehsen,ἠλέησέν,1
21595,21595,*DEKAPO/LEI,dekapolei,Δεκαπόλει,1
21603,21603,E)QAU/MAZON,eqaumazon,ἐθαύμαζον,7
21605,21605,DIAPERA/SANTOS,diaperasantos,διαπεράσαντος,1
21630,21630,A)RXISUNAGW/GWN,arxisunagwgwn,ἀρχισυναγώγων,1
21632,21632,*)IA/EIROS,iaeiros,Ἰάειρος,2
21648,21648,QUGA/TRIO/N,qugatrion,θυγάτριόν,1
21650,21650,E)SXA/TWS,esxatws,ἐσχάτως,1
21654,21654,E)PIQH=|S,epiqhs,ἐπιθῇς,1
21659,21659,SWQH=|,swqh,σωθῇ,3
21672,21672,SUNE/QLIBON,suneqlibon,συνέθλιβον,1
21677,21677,OU)=SA,ousa,οὖσα,6
21679,21679,R(U/SEI,rusei,ῥύσει,2
21685,21685,PAQOU=SA,paqousa,παθοῦσα,1
21688,21688,I)ATRW=N,iatrwn,ἰατρῶν,1
21690,21690,DAPANH/SASA,dapanhsasa,δαπανήσασα,1
21697,21697,W)FELHQEI=SA,wfelhqeisa,ὠφεληθεῖσα,1
21704,21704,A)KOU/SASA,akousasa,ἀκούσασα,1
21730,21730,PHGH\,phgh,πηγὴ,5
21735,21735,E)/GNW,egnw,ἔγνω,12
21739,21739,I)/ATAI,iatai,ἴαται,1
21742,21742,MA/STIGOS,mastigos,μάστιγος,1
21754,21754,E)CELQOU=SAN,ecelqousan,ἐξελθοῦσαν,2
21771,3215,*BLE/PEIS,blepeis,Βλέπεις,4
21774,21774,SUNQLI/BONTA/,sunqlibonta,συνθλίβοντά,1
21782,21782,PERIEBLE/PETO,perieblepeto,περιεβλέπετο,1
21786,21786,POIH/SASAN,poihsasan,ποιήσασαν,1
21790,21790,FOBHQEI=SA,fobhqeisa,φοβηθεῖσα,1
21792,21792,TRE/MOUSA,tremousa,τρέμουσα,2
21793,21793,EI)DUI=A,eiduia,εἰδυῖα,2
21800,21800,PROSE/PESEN,prosepesen,προσέπεσεν,5
21807,21807,A)LH/QEIAN,alhqeian,ἀλήθειαν,22
21812,4713,*QU/GATER,qugater,Θύγατερ,1
21826,21742,MA/STIGO/S,mastigos,μάστιγός,1
21834,21834,A)RXISUNAGW/GOU,arxisunagwgou,ἀρχισυναγώγου,3
21843,21843,SKU/LLEIS,skulleis,σκύλλεις,1
21853,21853,LALOU/MENON,laloumenon,λαλούμενον,2
21856,21856,A)RXISUNAGW/GW|,arxisunagwgw,ἀρχισυναγώγῳ,1
21858,8623,FOBOU=,fobou,φοβοῦ,13
21860,21860,PI/STEUE,pisteue,πίστευε,2
21866,21866,SUNAKOLOUQH=SAI,sunakolouqhsai,συνακολουθῆσαι,1
21885,21885,QEWREI=,qewrei,θεωρεῖ,9
21886,21886,QO/RUBON,qorubon,θόρυβον,3
21887,21887,KLAI/ONTAS,klaiontas,κλαίοντας,2
21889,21889,A)LALA/ZONTAS,alalazontas,ἀλαλάζοντας,1
21896,21896,QORUBEI=SQE,qorubeisqe,θορυβεῖσθε,2
21898,21898,KLAI/ETE,klaiete,κλαίετε,4
21910,21910,E)KBALW\N,ekbalwn,ἐκβαλὼν,3
21925,21925,EI)SPOREU/ETAI,eisporeuetai,εἰσπορεύεται,3
21930,21930,A)NAKEI/MENON,anakeimenon,ἀνακείμενον,1
21939,21939,*TALIQA/,taliqa,Ταλιθά,1
21940,21940,KOU=MI,koumi,κοῦμι,1
21955,21955,PERIEPA/TEI,periepatei,περιεπάτει,7
21958,21958,E)TW=N,etwn,ἐτῶν,14
21961,21961,E)CE/STHSAN,ecesthsan,ἐξέστησαν,5
21962,21962,E)KSTA/SEI,ekstasei,ἐκστάσει,3
21970,21970,GNW=|,gnw,γνῷ,7
22013,22013,DOQEI=SA,doqeisa,δοθεῖσα,1
22017,22017,TOIAU=TAI,toiautai,τοιαῦται,1
22022,22022,GI/NONTAI,ginontai,γίνονται,1
22027,22027,TE/KTWN,tektwn,τέκτων,1
22072,22072,SUGGENE/SIN,suggenesin,συγγενέσιν,2
22080,16213,H)DU/NATO,hdunato,ἠδύνατο,6
22082,22082,OU)DEMI/AN,oudemian,οὐδεμίαν,8
22087,22087,O)LI/GOIS,oligois,ὀλίγοις,1
22088,22088,A)RRW/STOIS,arrwstois,ἀρρώστοις,1
