id,info_id,book,chapter,verse,word_index
30696,311,LUK,1,20,14
30697,428,LUK,1,20,15
30698,3936,LUK,1,20,16
30699,535,LUK,1,20,17
30700,25542,LUK,1,20,18
30701,547,LUK,1,20,19
30702,3452,LUK,1,20,20
30703,30703,LUK,1,20,21
30704,463,LUK,1,20,22
30705,11,LUK,1,20,23
30706,30706,LUK,1,20,24
30707,370,LUK,1,20,25
30708,23,LUK,1,21,0
30709,285,LUK,1,21,1
30710,93,LUK,1,21,2
30711,1476,LUK,1,21,3
30712,30712,LUK,1,21,4
30713,11,LUK,1,21,5
30714,30714,LUK,1,21,6
30715,23,LUK,1,21,7
30716,21609,LUK,1,21,8
30717,299,LUK,1,21,9
30718,292,LUK,1,21,10
30719,30719,LUK,1,21,11
30720,984,LUK,1,21,12
30721,299,LUK,1,21,13
30722,292,LUK,1,21,14
30723,14066,LUK,1,21,15
30724,7114,LUK,1,22,0
30725,14,LUK,1,22,1
30726,428,LUK,1,22,2
30727,16216,LUK,1,22,3
30728,7035,LUK,1,22,4
30729,1020,LUK,1,22,5
30730,23,LUK,1,22,6
30731,10138,LUK,1,22,7
30732,747,LUK,1,22,8
30733,30733,LUK,1,22,9
30734,30734,LUK,1,22,10
30735,299,LUK,1,22,11
30736,292,LUK,1,22,12
30737,14066,LUK,1,22,13
30738,23,LUK,1,22,14
30739,361,LUK,1,22,15
30740,285,LUK,1,22,16
30741,30741,LUK,1,22,17
30742,1020,LUK,1,22,18
30743,23,LUK,1,22,19
30744,30744,LUK,1,22,20
30745,4874,LUK,1,22,21
30746,23,LUK,1,23,0
30747,3688,LUK,1,23,1
30748,416,LUK,1,23,2
30749,30749,LUK,1,23,3
30750,251,LUK,1,23,4
30751,4583,LUK,1,23,5
30752,36,LUK,1,23,6
30753,30753,LUK,1,23,7
30754,26,LUK,1,23,8
30755,1628,LUK,1,23,9
30756,463,LUK,1,23,10
30757,11,LUK,1,23,11
30758,4420,LUK,1,23,12
30759,26,LUK,1,23,13
30760,175,LUK,1,24,0
30761,14,LUK,1,24,1
30762,8106,LUK,1,24,2
30763,951,LUK,1,24,3
30764,1255,LUK,1,24,4
30765,30765,LUK,1,24,5
30766,30439,LUK,1,24,6
30767,282,LUK,1,24,7
30768,4684,LUK,1,24,8
30769,26,LUK,1,24,9
30770,23,LUK,1,24,10
30771,30771,LUK,1,24,11
30772,20394,LUK,1,24,12
30773,30773,LUK,1,24,13
30774,8469,LUK,1,24,14
30775,1228,LUK,1,24,15
30776,747,LUK,1,25,0
30777,284,LUK,1,25,1
30778,580,LUK,1,25,2
30779,21590,LUK,1,25,3
30780,93,LUK,1,25,4
30781,5393,LUK,1,25,5
30782,299,LUK,1,25,6
30783,454,LUK,1,25,7
30784,5990,LUK,1,25,8
30785,30785,LUK,1,25,9
30786,30786,LUK,1,25,10
30787,343,LUK,1,25,11
30788,30788,LUK,1,25,12
30789,547,LUK,1,25,13
30790,299,LUK,1,25,14
30791,2637,LUK,1,25,15
30792,299,LUK,1,26,0
30793,14,LUK,1,26,1
30794,292,LUK,1,26,2
30795,30795,LUK,1,26,3
30796,292,LUK,1,26,4
30797,30797,LUK,1,26,5
30798,30798,LUK,1,26,6
30799,93,LUK,1,26,7
30800,326,LUK,1,26,8
30801,30667,LUK,1,26,9
30802,379,LUK,1,26,10
30803,100,LUK,1,26,11
30804,1214,LUK,1,26,12
30805,463,LUK,1,26,13
30806,893,LUK,1,26,14
30807,36,LUK,1,26,15
30808,888,LUK,1,26,16
30809,282,LUK,1,26,17
30810,358,LUK,1,26,18
30811,895,LUK,1,26,19
30812,655,LUK,1,27,0
30813,30813,LUK,1,27,1
30814,30814,LUK,1,27,2
30815,3604,LUK,1,27,3
30816,1237,LUK,1,27,4
30817,358,LUK,1,27,5
30818,238,LUK,1,27,6
30819,242,LUK,1,27,7
30820,5075,LUK,1,27,8
30821,6,LUK,1,27,9
30822,23,LUK,1,27,10
30823,343,LUK,1,27,11
30824,358,LUK,1,27,12
30825,36,LUK,1,27,13
30826,30826,LUK,1,27,14
30827,339,LUK,1,27,15
30828,23,LUK,1,28,0
30829,4765,LUK,1,28,1
30830,93,LUK,1,28,2
30831,326,LUK,1,28,3
30832,655,LUK,1,28,4
30833,315,LUK,1,28,5
30834,569,LUK,1,28,6
30835,16914,LUK,1,28,7
30836,30836,LUK,1,28,8
30837,93,LUK,1,28,9
30838,5393,LUK,1,28,10
30839,175,LUK,1,28,11
30840,342,LUK,1,28,12
30841,26238,LUK,1,28,13
30842,527,LUK,1,28,14
30843,299,LUK,1,28,15
30844,18482,LUK,1,28,16
30845,282,LUK,1,29,0
30846,14,LUK,1,29,1
30847,29264,LUK,1,29,2
30848,30848,LUK,1,29,3
30849,171,LUK,1,29,4
30850,292,LUK,1,29,5
30851,3829,LUK,1,29,6
30852,26,LUK,1,29,7
30853,23,LUK,1,29,8
30854,30854,LUK,1,29,9
30855,4161,LUK,1,29,10
30856,30856,LUK,1,29,11
30857,93,LUK,1,29,12
30858,30858,LUK,1,29,13
30859,930,LUK,1,29,14
30860,23,LUK,1,30,0
30861,569,LUK,1,30,1
30862,93,LUK,1,30,2
30863,326,LUK,1,30,3
30864,346,LUK,1,30,4
30865,313,LUK,1,30,5
30866,8626,LUK,1,30,6
30867,339,LUK,1,30,7
30868,30868,LUK,1,30,8
30869,287,LUK,1,30,9
30870,30870,LUK,1,30,10
30871,778,LUK,1,30,11
30872,292,LUK,1,30,12
30873,3005,LUK,1,30,13
30874,23,LUK,1,31,0
30875,325,LUK,1,31,1
30876,30876,LUK,1,31,2
30877,299,LUK,1,31,3
30878,300,LUK,1,31,4
30879,23,LUK,1,31,5
30880,30880,LUK,1,31,6
30881,354,LUK,1,31,7
30882,23,LUK,1,31,8
30883,356,LUK,1,31,9
30884,343,LUK,1,31,10
30885,358,LUK,1,31,11
30886,26,LUK,1,31,12
30887,360,LUK,1,31,13
30888,930,LUK,1,32,0
