word,book,chapter,verse,word_index,disputed_betacode_alt
*POU=,MAT,2,2,1,
E)STI\N,MAT,2,2,2,
O(,MAT,2,2,3,
TEXQEI\S,MAT,2,2,4,
BASILEU\S,MAT,2,2,5,
TW=N,MAT,2,2,6,
*)IOUDAI/WN,MAT,2,2,7,
*EI)/DOMEN,MAT,2,2,8,
GA\R,MAT,2,2,9,
AU)TOU=,MAT,2,2,10,
TO\N,MAT,2,2,11,
A)STE/RA,MAT,2,2,12,
E)N,MAT,2,2,13,
TH=|,MAT,2,2,14,
A)NATOLH=|,MAT,2,2,15,
KAI\,MAT,2,2,16,
H)/LQOMEN,MAT,2,2,17,
PROSKUNH=SAI,MAT,2,2,18,
AU)TW=|,MAT,2,2,19,
*)AKOU/SAS,MAT,2,3,0,
DE\,MAT,2,3,1,
*(HRW/|DHS,MAT,2,3,2,
O(,MAT,2,3,3,
BASILEU\S,MAT,2,3,4,
E)TARA/XQH,MAT,2,3,5,
KAI\,MAT,2,3,6,
PA=SA,MAT,2,3,7,
*(IEROSO/LUMA,MAT,2,3,8,
MET,MAT,2,3,9,
AU)TOU=,MAT,2,3,10,
KAI\,MAT,2,4,0,
SUNAGAGW\N,MAT,2,4,1,
PA/NTAS,MAT,2,4,2,
TOU\S,MAT,2,4,3,
A)RXIEREI=S,MAT,2,4,4,
KAI\,MAT,2,4,5,
GRAMMATEI=S,MAT,2,4,6,
TOU=,MAT,2,4,7,
LAOU=,MAT,2,4,8,
E)PUNQA/NETO,MAT,2,4,9,
PAR,MAT,2,4,10,
AU)TW=N,MAT,2,4,11,
POU=,MAT,2,4,12,
O(,MAT,2,4,13,
XRISTO\S,MAT,2,4,14,
GENNA=TAI,MAT,2,4,15,
*OI(,MAT,2,5,0,
DE\,MAT,2,5,1,
EI)=PON,MAT,2,5,2,
AU)TW=|,MAT,2,5,3,
*)EN,MAT,2,5,4,
*BHQLEE\M,MAT,2,5,5,
TH=S,MAT,2,5,6,
*)IOUDAI/AS,MAT,2,5,7,
OU(/TWS,MAT,2,5,8,
GA\R,MAT,2,5,9,
GE/GRAPTAI,MAT,2,5,10,
DIA\,MAT,2,5,11,
TOU=,MAT,2,5,12,
PROFH/TOU,MAT,2,5,13,
*KAI\,MAT,2,6,0,
SU\,MAT,2,6,1,
*BHQLEE/M,MAT,2,6,2,
GH=,MAT,2,6,3,
*)IOU/DA,MAT,2,6,4,
OU)DAMW=S,MAT,2,6,5,
E)LAXI/STH,MAT,2,6,6,
EI)=,MAT,2,6,7,
E)N,MAT,2,6,8,
TOI=S,MAT,2,6,9,
H(GEMO/SIN,MAT,2,6,10,
*)IOU/DA,MAT,2,6,11,
E)K,MAT,2,6,12,
SOU=,MAT,2,6,13,
GA\R,MAT,2,6,14,
E)CELEU/SETAI,MAT,2,6,15,
H(GOU/MENOS,MAT,2,6,16,
O(/STIS,MAT,2,6,17,
POIMANEI=,MAT,2,6,18,
TO\N,MAT,2,6,19,
LAO/N,MAT,2,6,20,
MOU,MAT,2,6,21,
TO\N,MAT,2,6,22,
*)ISRAH/L,MAT,2,6,23,
*TO/TE,MAT,2,7,0,
*(HRW/|DHS,MAT,2,7,1,
LA/QRA|,MAT,2,7,2,
KALE/SAS,MAT,2,7,3,
TOU\S,MAT,2,7,4,
MA/GOUS,MAT,2,7,5,
H)KRI/BWSEN,MAT,2,7,6,
PAR,MAT,2,7,7,
AU)TW=N,MAT,2,7,8,
TO\N,MAT,2,7,9,
XRO/NON,MAT,2,7,10,
TOU=,MAT,2,7,11,
FAINOME/NOU,MAT,2,7,12,
A)STE/ROS,MAT,2,7,13,
*KAI\,MAT,2,8,0,
PE/MYAS,MAT,2,8,1,
