id,word,unicode,count,str_num,rp_code,rp_pos,rp_gender,rp_number,rp_word_case,rp_tense,rp_type,rp_voice,rp_mood,rp_person,rp_indeclinable,rp_why_indeclinable,rp_kai_crasis,rp_attic_greek_form
42,esrwm,εσρωμ,3,2074,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
47,aram,αραμ,3,689,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
52,aminadab,αμιναδαβ,3,284,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
57,naasswn,ναασσων,3,3476,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
62,salmwn,σαλμων,3,4533,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
67,booz,βοοζ,3,1003,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
70,raxab,ραχαβ,1,4477,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
75,wbhd,ωβηδ,3,5601,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
78,rouq,ρουθ,1,4503,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
83,iessai,ιεσσαι,5,2421,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
90,basilea,βασιλεα,15,935,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
93,o,ο,3308,3588,{T-NSM},Article,Masculine,Singular,Nominative,,,,,,,,,
94,basileus,βασιλευσ,51,935,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
97,solomwna,σολομωνα,1,4672,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
100,tou,του,2587,3588,{T-GSM},Article,Masculine,Singular,Genitive,,,,,,,,,
101,ouriou,ουριου,1,3774,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
102,solomwn,σολομων,4,4672,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
106,roboam,ροβοαμ,2,4497,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
111,abia,αβια,3,7,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
116,asa,ασα,2,760,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
121,iwsafat,ιωσαφατ,2,2498,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
126,iwram,ιωραμ,2,2496,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
131,ozian,οζιαν,1,3604,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
132,ozias,οζιασ,1,3604,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
136,iwaqam,ιωαθαμ,2,2488,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
141,axaz,αχαζ,2,881,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
146,ezekian,εζεκιαν,1,1478,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
147,ezekias,εζεκιασ,1,1478,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
151,manassh,μανασση,2,3128,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
152,manasshs,μανασσησ,1,3128,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
156,amwn,αμων,2,300,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
161,iwsian,ιωσιαν,1,2502,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
162,iwsias,ιωσιασ,1,2502,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
166,iexonian,ιεχονιαν,1,2423,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
171,epi,επι,676,1909,{PREP},Preposition,,,,,,,,,,,,
173,metoikesias,μετοικεσιασ,3,3350,{N-GSF},Noun,Feminine,Singular,Genitive,,,,,,,,,
174,babulwnos,βαβυλωνοσ,5,897,{N-GSF},Noun,Feminine,Singular,Genitive,,,,,,,,,
175,meta,μετα,294,3326,{PREP},Preposition,,,,,,,,,,,,
177,thn,την,1554,3588,{T-ASF},Article,Feminine,Singular,Accusative,,,,,,,,,
178,metoikesian,μετοικεσιαν,1,3350,{N-ASF},Noun,Feminine,Singular,Accusative,,,,,,,,,
180,iexonias,ιεχονιασ,1,2423,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
183,salaqihl,σαλαθιηλ,3,4528,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
188,zorobabel,ζοροβαβελ,3,2216,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
193,abioud,αβιουδ,2,10,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
198,eliakeim,ελιακειμ,3,1662,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
203,azwr,αζωρ,2,107,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
208,sadwk,σαδωκ,2,4524,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
213,axeim,αχειμ,2,885,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
218,elioud,ελιουδ,2,1664,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
223,eleazar,ελεαζαρ,2,1648,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
228,matqan,ματθαν,2,3157,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
238,iwshf,ιωσηφ,35,2501,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
240,andra,ανδρα,29,435,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
241,marias,μαριασ,7,3137,{N-GSF},Noun,Feminine,Singular,Genitive,,,,,,,,,
242,ec,εξ,253,1537,{PREP},Preposition,,,,,,,,,,,,
243,hs,ησ,55,3739,{R-GSF},Relative Pronoun,Feminine,Singular,Genitive,,,,,,,,,
244,egennhqh,εγεννηθη,7,1080,{V-API-3S},Verb,,Singular,,Aorist,,Passive,Indicative,Third person,,,,
245,ihsous,ιησουσ,502,2424,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
247,legomenos,λεγομενοσ,12,3004,{V-PPP-NSM},Verb,Masculine,Singular,Nominative,Present,,Passive,Participle,,,,,
248,xristos,χριστοσ,117,5547,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
249,pasai,πασαι,15,3956,{A-NPF},Adjective,Feminine,Plural,Nominative,,,,,,,,,
250,oun,ουν,523,3767,{CONJ},Conjunction,,,,,,,,,,,,
251,ai,αι,151,3588,{T-NPF},Article,Feminine,Plural,Nominative,,,,,,,,,
252,geneai,γενεαι,5,1074,{N-NPF},Noun,Feminine,Plural,Nominative,,,,,,,,,
253,apo,απο,487,575,{PREP},Preposition,,,,,,,,,,,,
255,ews,εωσ,146,2193,{ADV},Adverb,,,,,,,,,,,,
258,dekatessares,δεκατεσσαρεσ,3,1180,{A-NPF},Adjective,Feminine,Plural,Nominative,,,,,,,,,
282,h,η,1441,3588,{T-NSF},Article,Feminine,Singular,Nominative,,,,,,,,,
283,gennhsis,γεννησισ,1,1083,{N-NSF},Noun,Feminine,Singular,Nominative,,,,,,,,,
284,outws,ουτωσ,213,3779,{ADV},Adverb,,,,,,,,,,,,
285,hn,ην,421,1510,{V-IAI-3S},Verb,,Singular,,Imperfect,,Active,Indicative,Third person,,,,
286,mnhsteuqeishs,μνηστευθεισησ,1,3423,{V-APP-GSF},Verb,Feminine,Singular,Genitive,Aorist,,Passive,Participle,,,,,
287,gar,γαρ,1063,1063,{CONJ},Conjunction,,,,,,,,,,,,
289,mhtros,μητροσ,12,3384,{N-GSF},Noun,Feminine,Singular,Genitive,,,,,,,,,
292,tw,τω,1251,3588,{T-DSM},Article,Masculine,Singular,Dative,,,,,,,,,
294,prin,πριν,14,4250,{ADV},Adverb,,,,,,,,,,,,
296,sunelqein,συνελθειν,3,4905,{V-2AAN},Verb,,,,Second Aorist,,Active,Infinitive,,,,,
297,autous,αυτουσ,353,846,{P-APM},Personal Pronoun,Masculine,Plural,Accusative,,,,,,,,,
298,eureqh,ευρεθη,17,2147,{V-API-3S},Verb,,Singular,,Aorist,,Passive,Indicative,Third person,,,,
299,en,εν,2854,1722,{PREP},Preposition,,,,,,,,,,,,
300,gastri,γαστρι,8,1064,{N-DSF},Noun,Feminine,Singular,Dative,,,,,,,,,
301,exousa,εχουσα,15,2192,{V-PAP-NSF},Verb,Feminine,Singular,Nominative,Present,,Active,Participle,,,,,
303,pneumatos,πνευματοσ,96,4151,{N-GSN},Noun,Neuter,Singular,Genitive,,,,,,,,,
304,agiou,αγιου,43,40,{A-GSN},Adjective,Neuter,Singular,Genitive,,,,,,,,,
308,anhr,ανηρ,51,435,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
309,auths,αυτησ,169,846,{P-GSF},Personal Pronoun,Feminine,Singular,Genitive,,,,,,,,,
310,dikaios,δικαιοσ,20,1342,{A-NSM},Adjective,Masculine,Singular,Nominative,,,,,,,,,
311,wn,ων,129,1510,{V-PAP-NSM},Verb,Masculine,Singular,Nominative,Present,,Active,Participle,,,,,
313,mh,μη,1029,3361,{PRT-N},Particle,,,,,negative,,,,,,,
314,qelwn,θελων,14,2309,{V-PAP-NSM},Verb,Masculine,Singular,Nominative,Present,,Active,Participle,,,,,
315,authn,αυτην,138,846,{P-ASF},Personal Pronoun,Feminine,Singular,Accusative,,,,,,,,,
316,paradeigmatisai,παραδειγματισαι,1,3856,{V-AAN},Verb,,,,Aorist,,Active,Infinitive,,,,,
317,eboulhqh,εβουληθη,1,1014,{V-AOI-3S},Verb,,Singular,,Aorist,,passive Deponent,Indicative,Third person,,,,
318,laqra,λαθρα,4,2977,{ADV},Adverb,,,,,,,,,,,,
319,apolusai,απολυσαι,11,630,{V-AAN},Verb,,,,Aorist,,Active,Infinitive,,,,,
321,tauta,ταυτα,246,3778,{D-APN},Demonstrative Pronoun,Neuter,Plural,Accusative,,,,,,,,,
324,enqumhqentos,ενθυμηθεντοσ,1,1760,{V-AOP-GSM},Verb,Masculine,Singular,Genitive,Aorist,,passive Deponent,Participle,,,,,
325,idou,ιδου,208,3708,{V-2AMM-2S},Verb,,Singular,,Second Aorist,,Middle,Imperative,Second person,,,,
326,aggelos,αγγελοσ,51,32,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
327,kuriou,κυριου,254,2962,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
328,kat,κατ,85,2596,{PREP},Preposition,,,,,,,,,,,,
329,onar,οναρ,6,3677,{N-OI},Noun,,,,,,,,,Indeclinable,other,,
330,efanh,εφανη,5,5316,{V-2API-3S},Verb,,Singular,,Second Aorist,,Passive,Indicative,Third person,,,,
331,autw,αυτω,888,846,{P-DSM},Personal Pronoun,Masculine,Singular,Dative,,,,,,,,,
332,legwn,λεγων,189,3004,{V-PAP-NSM},Verb,Masculine,Singular,Nominative,Present,,Active,Participle,,,,,
334,uios,υιοσ,164,5207,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
337,fobhqhs,φοβηθησ,1,5399,{V-AOS-2S},Verb,,Singular,,Aorist,,passive Deponent,Subjunctive,Second person,,,,
338,paralabein,παραλαβειν,1,3880,{V-2AAN},Verb,,,,Second Aorist,,Active,Infinitive,,,,,
339,mariam,μαριαμ,14,3137,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
341,gunaika,γυναικα,55,1135,{N-ASF},Noun,Feminine,Singular,Accusative,,,,,,,,,
342,sou,σου,497,4771,{P-2GS},Personal Pronoun,,Singular,Genitive,,,,,Second person,,,,
343,to,το,1721,3588,{T-NSN},Article,Neuter,Singular,Nominative,,,,,,,,,
346,auth,αυτη,202,846,{P-DSF},Personal Pronoun,Feminine,Singular,Dative,,,,,,,,,
347,gennhqen,γεννηθεν,1,1080,{V-APP-NSN},Verb,Neuter,Singular,Nominative,Aorist,,Passive,Participle,,,,,
350,estin,εστιν,918,1510,{V-PAI-3S},Verb,,Singular,,Present,,Active,Indicative,Third person,,,,
352,tecetai,τεξεται,2,5088,{V-FDI-3S},Verb,,Singular,,Future,,middle Deponent,Indicative,Third person,,,,
354,uion,υιον,82,5207,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
356,kaleseis,καλεσεισ,3,2564,{V-FAI-2S},Verb,,Singular,,Future,,Active,Indicative,Second person,,,,
358,onoma,ονομα,106,3686,{N-ASN},Noun,Neuter,Singular,Accusative,,,,,,,,,
360,ihsoun,ιησουν,131,2424,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
361,autos,αυτοσ,177,846,{P-NSM},Personal Pronoun,Masculine,Singular,Nominative,,,,,,,,,
363,swsei,σωσει,6,4982,{V-FAI-3S},Verb,,Singular,,Future,,Active,Indicative,Third person,,,,
365,laon,λαον,44,2992,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
368,twn,των,1243,3588,{T-GPF},Article,Feminine,Plural,Genitive,,,,,,,,,
369,amartiwn,αμαρτιων,33,266,{N-GPF},Noun,Feminine,Plural,Genitive,,,,,,,,,
370,autwn,αυτων,592,846,{P-GPM},Personal Pronoun,Masculine,Plural,Genitive,,,,,,,,,
371,touto,τουτο,319,3778,{D-NSN},Demonstrative Pronoun,Neuter,Singular,Nominative,,,,,,,,,
373,olon,ολον,37,3650,{A-NSN},Adjective,Neuter,Singular,Nominative,,,,,,,,,
374,gegonen,γεγονεν,34,1096,{V-2RAI-3S},Verb,,Singular,,Second Perfect,,Active,Indicative,Third person,,,,
375,ina,ινα,670,2443,{CONJ},Conjunction,,,,,,,,,,,,
376,plhrwqh,πληρωθη,20,4137,{V-APS-3S},Verb,,Singular,,Aorist,,Passive,Subjunctive,Third person,,,,
378,rhqen,ρηθεν,13,2046,{V-APP-NSN},Verb,Neuter,Singular,Nominative,Aorist,,Passive,Participle,,,,,
379,upo,υπο,190,5259,{PREP},Preposition,,,,,,,,,,,,
382,dia,δια,529,1223,{PREP},Preposition,,,,,,,,,,,,
384,profhtou,προφητου,29,4396,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
385,legontos,λεγοντοσ,25,3004,{V-PAP-GSM},Verb,Masculine,Singular,Genitive,Present,,Active,Participle,,,,,
388,parqenos,παρθενοσ,3,3933,{N-NSF},Noun,Feminine,Singular,Nominative,,,,,,,,,
391,ecei,εξει,6,2192,{V-FAI-3S},Verb,,Singular,,Future,,Active,Indicative,Third person,,,,
396,kalesousin,καλεσουσιν,1,2564,{V-FAI-3P},Verb,,Plural,,Future,,Active,Indicative,Third person,,,,
400,emmanouhl,εμμανουηλ,1,1694,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
403,meqermhneuomenon,μεθερμηνευομενον,6,3177,{V-PPP-NSN},Verb,Neuter,Singular,Nominative,Present,,Passive,Participle,,,,,
404,meq,μεθ,48,3326,{PREP},Preposition,,,,,,,,,,,,
405,hmwn,ημων,410,1473,{P-1GP},Personal Pronoun,,Plural,Genitive,,,,,First person,,,,
407,qeos,θεοσ,315,2316,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
408,diegerqeis,διεγερθεισ,2,1326,{V-APP-NSM},Verb,Masculine,Singular,Nominative,Aorist,,Passive,Participle,,,,,
414,upnou,υπνου,4,5258,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
415,epoihsen,εποιησεν,77,4160,{V-AAI-3S},Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
416,ws,ωσ,499,5613,{ADV},Adverb,,,,,,,,,,,,
417,prosetacen,προσεταξεν,6,4367,{V-AAI-3S},Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
423,parelaben,παρελαβεν,4,3880,{V-2AAI-3S},Verb,,Singular,,Second Aorist,,Active,Indicative,Third person,,,,
428,ouk,ουκ,833,3756,{PRT-N},Particle,,,,,negative,,,,,,,
429,eginwsken,εγινωσκεν,4,1097,{V-IAI-3S},Verb,,Singular,,Imperfect,,Active,Indicative,Third person,,,,
432,ou,ου,844,3739,{R-GSM},Relative Pronoun,Masculine,Singular,Genitive,,,,,,,,,
433,eteken,ετεκεν,5,5088,{V-2AAI-3S},Verb,,Singular,,Second Aorist,,Active,Indicative,Third person,,,,
438,prwtotokon,πρωτοτοκον,4,4416,{A-ASM-S},Adjective,Masculine,Singular,Accusative,,superlative,,,,,,,
440,ekalesen,εκαλεσεν,10,2564,{V-AAI-3S},Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
448,gennhqentos,γεννηθεντοσ,1,1080,{V-APP-GSM},Verb,Masculine,Singular,Genitive,Aorist,,Passive,Participle,,,,,
450,bhqleem,βηθλεεμ,8,965,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
452,ioudaias,ιουδαιασ,26,2449,{N-GSF},Noun,Feminine,Singular,Genitive,,,,,,,,,
454,hmerais,ημεραισ,49,2250,{N-DPF},Noun,Feminine,Plural,Dative,,,,,,,,,
455,hrwdou,ηρωδου,13,2264,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
457,basilews,βασιλεωσ,9,935,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
459,magoi,μαγοι,1,3097,{N-NPM},Noun,Masculine,Plural,Nominative,,,,,,,,,
461,anatolwn,ανατολων,5,395,{N-GPF},Noun,Feminine,Plural,Genitive,,,,,,,,,
462,paregenonto,παρεγενοντο,5,3854,{V-2ADI-3P},Verb,,Plural,,Second Aorist,,middle Deponent,Indicative,Third person,,,,
463,eis,εισ,1875,1519,{PREP},Preposition,,,,,,,,,,,,
464,ierosoluma,ιεροσολυμα,34,2414,{N-APN},Noun,Neuter,Plural,Accusative,,,,,,,,,
465,legontes,λεγοντεσ,156,3004,{V-PAP-NPM},Verb,Masculine,Plural,Nominative,Present,,Active,Participle,,,,,
466,pou,που,50,4226,{ADV-I},Adverb,,,,,interrogative,,,,,,,
469,texqeis,τεχθεισ,1,5088,{V-APP-NSM},Verb,Masculine,Singular,Nominative,Aorist,,Passive,Participle,,,,,
472,ioudaiwn,ιουδαιων,72,2453,{A-GPM},Adjective,Masculine,Plural,Genitive,,,,,,,,,
473,eidomen,ειδομεν,10,3708,{V-2AAI-1P},Verb,,Plural,,Second Aorist,,Active,Indicative,First person,,,,
477,astera,αστερα,4,792,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
479,th,τη,882,3588,{T-DSF},Article,Feminine,Singular,Dative,,,,,,,,,
480,anatolh,ανατολη,3,395,{N-DSF},Noun,Feminine,Singular,Dative,,,,,,,,,
482,hlqomen,ηλθομεν,10,2064,{V-2AAI-1P},Verb,,Plural,,Second Aorist,,Active,Indicative,First person,,,,
483,proskunhsai,προσκυνησαι,3,4352,{V-AAN},Verb,,,,Aorist,,Active,Infinitive,,,,,
485,akousas,ακουσασ,35,191,{V-AAP-NSM},Verb,Masculine,Singular,Nominative,Aorist,,Active,Participle,,,,,
487,hrwdhs,ηρωδησ,26,2264,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
490,etaraxqh,εταραχθη,3,5015,{V-API-3S},Verb,,Singular,,Aorist,,Passive,Indicative,Third person,,,,
492,pasa,πασα,47,3956,{A-NSF},Adjective,Feminine,Singular,Nominative,,,,,,,,,
494,met,μετ,130,3326,{PREP},Preposition,,,,,,,,,,,,
497,sunagagwn,συναγαγων,2,4863,{V-2AAP-NSM},Verb,Masculine,Singular,Nominative,Second Aorist,,Active,Participle,,,,,
498,pantas,παντασ,91,3956,{A-APM},Adjective,Masculine,Plural,Accusative,,,,,,,,,
500,arxiereis,αρχιερεισ,48,749,{N-APM},Noun,Masculine,Plural,Accusative,,,,,,,,,
502,grammateis,γραμματεισ,44,1122,{N-APM},Noun,Masculine,Plural,Accusative,,,,,,,,,
504,laou,λαου,38,2992,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
505,epunqaneto,επυνθανετο,5,4441,{V-INI-3S},Verb,,Singular,,Imperfect,,middle or passive Deponent,Indicative,Third person,,,,
506,par,παρ,61,3844,{PREP},Preposition,,,,,,,,,,,,
511,gennatai,γενναται,1,1080,{V-PPI-3S},Verb,,Singular,,Present,,Passive,Indicative,Third person,,,,
512,oi,οι,1178,3588,{T-NPM},Article,Masculine,Plural,Nominative,,,,,,,,,
514,eipon,ειπον,164,3004,{V-2AAI-3P},Verb,,Plural,,Second Aorist,,Active,Indicative,Third person,,,,
522,gegraptai,γεγραπται,67,1125,{V-RPI-3S},Verb,,Singular,,Perfect,,Passive,Indicative,Third person,,,,
527,su,συ,179,4771,{P-2NS},Personal Pronoun,,Singular,Nominative,,,,,Second person,,,,
529,gh,γη,40,1093,{N-VSF},Noun,Feminine,Singular,Vocative,,,,,,,,,
530,iouda,ιουδα,16,2448,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
531,oudamws,ουδαμωσ,1,3760,{ADV-N},Adverb,,,,,negative,,,,,,,
532,elaxisth,ελαχιστη,1,1646,{A-NSF-S},Adjective,Feminine,Singular,Nominative,,superlative,,,,,,,
533,ei,ει,595,1510,{V-PAI-2S},Verb,,Singular,,Present,,Active,Indicative,Second person,,,,
535,tois,τοισ,632,3588,{T-DPM},Article,Masculine,Plural,Dative,,,,,,,,,
536,hgemosin,ηγεμοσιν,2,2232,{N-DPM},Noun,Masculine,Plural,Dative,,,,,,,,,
541,eceleusetai,εξελευσεται,3,1831,{V-FDI-3S},Verb,,Singular,,Future,,middle Deponent,Indicative,Third person,,,,
542,hgoumenos,ηγουμενοσ,3,2233,{V-PNP-NSM},Verb,Masculine,Singular,Nominative,Present,,middle or passive Deponent,Participle,,,,,
543,ostis,οστισ,26,3748,{R-NSM},Relative Pronoun,Masculine,Singular,Nominative,,,,,,,,,
544,poimanei,ποιμανει,3,4165,{V-FAI-3S},Verb,,Singular,,Future,,Active,Indicative,Third person,,,,
547,mou,μου,584,1473,{P-1GS},Personal Pronoun,,Singular,Genitive,,,,,First person,,,,
549,israhl,ισραηλ,69,2474,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
550,tote,τοτε,158,5119,{ADV},Adverb,,,,,,,,,,,,
553,kalesas,καλεσασ,6,2564,{V-AAP-NSM},Verb,Masculine,Singular,Nominative,Aorist,,Active,Participle,,,,,
555,magous,μαγουσ,1,3097,{N-APM},Noun,Masculine,Plural,Accusative,,,,,,,,,
556,hkribwsen,ηκριβωσεν,2,198,{V-AAI-3S},Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
560,xronon,χρονον,28,5550,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
562,fainomenou,φαινομενου,1,5316,{V-PEP-GSM},Verb,Masculine,Singular,Genitive,Present,,Either middle or passive,Participle,,,,,
563,asteros,αστεροσ,3,792,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
565,pemyas,πεμψασ,15,3992,{V-AAP-NSM},Verb,Masculine,Singular,Nominative,Aorist,,Active,Participle,,,,,
569,eipen,ειπεν,637,3004,{V-2AAI-3S},Verb,,Singular,,Second Aorist,,Active,Indicative,Third person,,,,
570,poreuqentes,πορευθεντεσ,14,4198,{V-AOP-NPM},Verb,Masculine,Plural,Nominative,Aorist,,passive Deponent,Participle,,,,,
571,akribws,ακριβωσ,5,199,{ADV},Adverb,,,,,,,,,,,,
572,ecetasate,εξετασατε,2,1833,{V-AAM-2P},Verb,,Plural,,Aorist,,Active,Imperative,Second person,,,,
573,peri,περι,332,4012,{PREP},Preposition,,,,,,,,,,,,
575,paidiou,παιδιου,7,3813,{N-GSN},Noun,Neuter,Singular,Genitive,,,,,,,,,
576,epan,επαν,3,1875,{CONJ},Conjunction,,,,,,,,,,,,
578,eurhte,ευρητε,2,2147,{V-2AAS-2P},Verb,,Plural,,Second Aorist,,Active,Subjunctive,Second person,,,,
579,apaggeilate,απαγγειλατε,5,518,{V-AAM-2P},Verb,,Plural,,Aorist,,Active,Imperative,Second person,,,,
580,moi,μοι,235,1473,{P-1DS},Personal Pronoun,,Singular,Dative,,,,,First person,,,,
581,opws,οπωσ,57,3704,{ADV},Adverb,,,,,,,,,,,,
582,kagw,καγω,66,2504,{P-1NS-K},Personal Pronoun,,Singular,Nominative,,,,,First person,,,kai crasis,
583,elqwn,ελθων,49,2064,{V-2AAP-NSM},Verb,Masculine,Singular,Nominative,Second Aorist,,Active,Participle,,,,,
584,proskunhsw,προσκυνησω,1,4352,{V-AAS-1S},Verb,,Singular,,Aorist,,Active,Subjunctive,First person,,,,
588,akousantes,ακουσαντεσ,50,191,{V-AAP-NPM},Verb,Masculine,Plural,Nominative,Aorist,,Active,Participle,,,,,
591,eporeuqhsan,επορευθησαν,4,4198,{V-AOI-3P},Verb,,Plural,,Aorist,,passive Deponent,Indicative,Third person,,,,
595,asthr,αστηρ,4,792,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
596,on,ον,166,3739,{R-ASM},Relative Pronoun,Masculine,Singular,Accusative,,,,,,,,,
597,eidon,ειδον,76,3708,{V-2AAI-3P},Verb,,Plural,,Second Aorist,,Active,Indicative,Third person,,,,
601,prohgen,προηγεν,1,4254,{V-IAI-3S},Verb,,Singular,,Imperfect,,Active,Indicative,Third person,,,,
