id,source_id,exclusive_word,exclusive_unicode,book,chapter,verse,word_index
205,506.0,,,ACT,24,8,7
206,432.0,,,ACT,24,8,8
207,43518.0,,,ACT,24,8,9
208,361.0,,,ACT,24,8,10
209,48763.0,,,ACT,24,8,11
210,573.0,,,ACT,24,8,12
211,5322.0,,,ACT,24,8,13
212,1057.0,,,ACT,24,8,14
213,49635.0,,,ACT,24,8,15
214,2703.0,,,ACT,24,8,16
215,2756.0,,,ACT,24,8,17
216,81942.0,,,ACT,24,8,18
217,26.0,,,ACT,24,8,19
