info_id,book,chapter,verse,word_index,disputed_alt
14.0,MAT,1,7,1,
10.0,MAT,1,7,2,
11.0,MAT,1,7,3,
106.0,MAT,1,7,4,
107.0,MAT,1,7,5,
14.0,MAT,1,7,6,
10.0,MAT,1,7,7,
11.0,MAT,1,7,8,
111.0,MAT,1,7,9,
112.0,MAT,1,7,10,
14.0,MAT,1,7,11,
10.0,MAT,1,7,12,
11.0,MAT,1,7,13,
116.0,MAT,1,7,14,
117.0,MAT,1,8,0,
14.0,MAT,1,8,1,
10.0,MAT,1,8,2,
11.0,MAT,1,8,3,
121.0,MAT,1,8,4,
122.0,MAT,1,8,5,
14.0,MAT,1,8,6,
10.0,MAT,1,8,7,
11.0,MAT,1,8,8,
126.0,MAT,1,8,9,
127.0,MAT,1,8,10,
14.0,MAT,1,8,11,
10.0,MAT,1,8,12,
11.0,MAT,1,8,13,
131.0,MAT,1,8,14,
132.0,MAT,1,9,0,
14.0,MAT,1,9,1,
10.0,MAT,1,9,2,
11.0,MAT,1,9,3,
136.0,MAT,1,9,4,
136.0,MAT,1,9,5,
14.0,MAT,1,9,6,
10.0,MAT,1,9,7,
11.0,MAT,1,9,8,
141.0,MAT,1,9,9,
141.0,MAT,1,9,10,
14.0,MAT,1,9,11,
10.0,MAT,1,9,12,
11.0,MAT,1,9,13,
146.0,MAT,1,9,14,
147.0,MAT,1,10,0,
14.0,MAT,1,10,1,
10.0,MAT,1,10,2,
11.0,MAT,1,10,3,
151.0,MAT,1,10,4,
152.0,MAT,1,10,5,
14.0,MAT,1,10,6,
10.0,MAT,1,10,7,
11.0,MAT,1,10,8,
156.0,MAT,1,10,9,
157.0,MAT,1,10,10,
14.0,MAT,1,10,11,
10.0,MAT,1,10,12,
11.0,MAT,1,10,13,
161.0,MAT,1,10,14,
162.0,MAT,1,11,0,
14.0,MAT,1,11,1,
10.0,MAT,1,11,2,
11.0,MAT,1,11,3,
166.0,MAT,1,11,4,
23.0,MAT,1,11,5,
24.0,MAT,1,11,6,
25.0,MAT,1,11,7,
26.0,MAT,1,11,8,
171.0,MAT,1,11,9,
36.0,MAT,1,11,10,
173.0,MAT,1,11,11,
174.0,MAT,1,11,12,
175.0,MAT,1,12,0,
14.0,MAT,1,12,1,
177.0,MAT,1,12,2,
178.0,MAT,1,12,3,
174.0,MAT,1,12,4,
180.0,MAT,1,12,5,
10.0,MAT,1,12,6,
11.0,MAT,1,12,7,
183.0,MAT,1,12,8,
184.0,MAT,1,12,9,
14.0,MAT,1,12,10,
10.0,MAT,1,12,11,
11.0,MAT,1,12,12,
188.0,MAT,1,12,13,
188.0,MAT,1,13,0,
14.0,MAT,1,13,1,
10.0,MAT,1,13,2,
11.0,MAT,1,13,3,
193.0,MAT,1,13,4,
194.0,MAT,1,13,5,
14.0,MAT,1,13,6,
10.0,MAT,1,13,7,
11.0,MAT,1,13,8,
198.0,MAT,1,13,9,
199.0,MAT,1,13,10,
14.0,MAT,1,13,11,
10.0,MAT,1,13,12,
11.0,MAT,1,13,13,
203.0,MAT,1,13,14,
204.0,MAT,1,14,0,
14.0,MAT,1,14,1,
10.0,MAT,1,14,2,
11.0,MAT,1,14,3,
208.0,MAT,1,14,4,
209.0,MAT,1,14,5,
14.0,MAT,1,14,6,
10.0,MAT,1,14,7,
11.0,MAT,1,14,8,
213.0,MAT,1,14,9,
214.0,MAT,1,14,10,
14.0,MAT,1,14,11,
10.0,MAT,1,14,12,
11.0,MAT,1,14,13,
218.0,MAT,1,14,14,
219.0,MAT,1,15,0,
14.0,MAT,1,15,1,
10.0,MAT,1,15,2,
11.0,MAT,1,15,3,
223.0,MAT,1,15,4,
223.0,MAT,1,15,5,
14.0,MAT,1,15,6,
10.0,MAT,1,15,7,
11.0,MAT,1,15,8,
228.0,MAT,1,15,9,
229.0,MAT,1,15,10,
14.0,MAT,1,15,11,
10.0,MAT,1,15,12,
11.0,MAT,1,15,13,
17.0,MAT,1,15,14,
18.0,MAT,1,16,0,
14.0,MAT,1,16,1,
10.0,MAT,1,16,2,
11.0,MAT,1,16,3,
238.0,MAT,1,16,4,
11.0,MAT,1,16,5,
240.0,MAT,1,16,6,
241.0,MAT,1,16,7,
242.0,MAT,1,16,8,
243.0,MAT,1,16,9,
244.0,MAT,1,16,10,
245.0,MAT,1,16,11,
